accuracy,foreground_accuracy,loss,val_accuracy,val_foreground_accuracy,val_loss
0.8858882784843445,0.08153337240219116,0.3511422872543335,0.9383764266967773,0.0,0.14214080572128296
0.9167587161064148,0.0,0.1358925849199295,0.9383764266967773,0.0,0.12027733027935028
0.9167587161064148,0.0,0.12054219841957092,0.9383764266967773,0.0,0.10436960309743881
0.9418708682060242,0.3093392550945282,0.11068865656852722,0.9544191360473633,0.6224733591079712,0.10416091978549957
0.9609783291816711,0.6801273226737976,0.10223346203565598,0.9434652328491211,0.7834903597831726,0.10828475654125214
0.9537283778190613,0.6006949543952942,0.10835734754800797,0.9547758102416992,0.6490277051925659,0.11308813840150833
0.964152991771698,0.6942495703697205,0.0972924754023552,0.9560861587524414,0.6402047872543335,0.1024128720164299
0.9661514163017273,0.6825465559959412,0.08294136822223663,0.9620237350463867,0.6604275107383728,0.08997727185487747
0.9683232307434082,0.7274038195610046,0.0761939138174057,0.9606132507324219,0.6310895681381226,0.08539141714572906
0.9702423214912415,0.7864794731140137,0.07099521160125732,0.9617519378662109,0.7565590739250183,0.09405367076396942
0.973227322101593,0.7905976176261902,0.06472671777009964,0.9613018035888672,0.8287792205810547,0.08027347922325134
0.9720137715339661,0.810035765171051,0.0667496845126152,0.9632911682128906,0.837926983833313,0.0758492648601532
0.9742138981819153,0.8006656765937805,0.06255146116018295,0.9676094055175781,0.8054627180099487,0.06629492342472076
0.9757227897644043,0.8288199305534363,0.061649713665246964,0.9614067077636719,0.9497208595275879,0.08420637249946594
0.9683316349983215,0.7651969790458679,0.07568209618330002,0.9641332626342773,0.8192918300628662,0.07767649739980698
0.9747519493103027,0.8222149014472961,0.06148495152592659,0.9591312408447266,0.9411568641662598,0.09662076085805893
0.9768349528312683,0.8355324268341064,0.056125134229660034,0.9641246795654297,0.9065748453140259,0.07557938992977142
0.9745650291442871,0.8453086018562317,0.061577245593070984,0.9630088806152344,0.9174501895904541,0.0796927809715271
0.9759594798088074,0.8213868141174316,0.05932265520095825,0.9667606353759766,0.8767310380935669,0.07080816477537155
0.9771025776863098,0.8724437355995178,0.054537978023290634,0.9664955139160156,0.8750367164611816,0.07167591154575348
